    FLOAT     ,    FLOAT     ,    FLOAT     
     Msol     ,      -       ,      -       
     Mass     ,  LBV_Factor  ,  WR_Factor   
  8.009912e+01,  0.000000e+00,  0.000000e+00
  8.009912e+01,  0.000000e+00,  5.000000e-02
  8.009912e+01,  0.000000e+00,  1.000000e-01
  8.009912e+01,  0.000000e+00,  1.500000e-01
  8.009912e+01,  0.000000e+00,  2.000000e-01
  8.009912e+01,  0.000000e+00,  2.500000e-01
  8.009912e+01,  0.000000e+00,  3.000000e-01
  8.009912e+01,  0.000000e+00,  3.500000e-01
  8.009912e+01,  0.000000e+00,  4.000000e-01
  8.009912e+01,  0.000000e+00,  4.500000e-01
  8.009912e+01,  0.000000e+00,  5.000000e-01
  8.009912e+01,  0.000000e+00,  5.500000e-01
  8.009912e+01,  0.000000e+00,  6.000000e-01
  8.009912e+01,  0.000000e+00,  6.500000e-01
  8.009912e+01,  0.000000e+00,  7.000000e-01
  8.009912e+01,  0.000000e+00,  7.500000e-01
  8.009912e+01,  0.000000e+00,  8.000000e-01
  8.009912e+01,  0.000000e+00,  8.500000e-01
  8.009912e+01,  0.000000e+00,  9.000000e-01
  8.009912e+01,  0.000000e+00,  9.500000e-01
  8.009912e+01,  0.000000e+00,  1.000000e+00
  8.009912e+01,  0.000000e+00,  1.050000e+00
  8.009912e+01,  0.000000e+00,  1.100000e+00
  8.009912e+01,  0.000000e+00,  1.150000e+00
  8.009912e+01,  0.000000e+00,  1.200000e+00
  8.009912e+01,  0.000000e+00,  1.250000e+00
  8.009912e+01,  0.000000e+00,  1.300000e+00
  8.009912e+01,  0.000000e+00,  1.350000e+00
  8.009912e+01,  0.000000e+00,  1.400000e+00
  8.009912e+01,  0.000000e+00,  1.450000e+00
  8.009912e+01,  0.000000e+00,  1.500000e+00
  8.009912e+01,  0.000000e+00,  1.550000e+00
  8.009912e+01,  0.000000e+00,  1.600000e+00
  8.009912e+01,  0.000000e+00,  1.650000e+00
  8.009912e+01,  0.000000e+00,  1.700000e+00
  8.009912e+01,  0.000000e+00,  1.750000e+00
  8.009912e+01,  0.000000e+00,  1.800000e+00
  8.009912e+01,  0.000000e+00,  1.850000e+00
  8.009912e+01,  0.000000e+00,  1.900000e+00
  8.009912e+01,  0.000000e+00,  1.950000e+00
  8.009912e+01,  0.000000e+00,  2.000000e+00
  7.675202e+01,  5.000000e-02,  0.000000e+00
  7.675202e+01,  5.000000e-02,  5.000000e-02
  7.675202e+01,  5.000000e-02,  1.000000e-01
  7.675202e+01,  5.000000e-02,  1.500000e-01
  7.675202e+01,  5.000000e-02,  2.000000e-01
  7.675202e+01,  5.000000e-02,  2.500000e-01
  7.675202e+01,  5.000000e-02,  3.000000e-01
  7.675202e+01,  5.000000e-02,  3.500000e-01
  7.675202e+01,  5.000000e-02,  4.000000e-01
  7.675202e+01,  5.000000e-02,  4.500000e-01
  7.675202e+01,  5.000000e-02,  5.000000e-01
  7.675202e+01,  5.000000e-02,  5.500000e-01
  7.675202e+01,  5.000000e-02,  6.000000e-01
  7.675202e+01,  5.000000e-02,  6.500000e-01
  7.675202e+01,  5.000000e-02,  7.000000e-01
  7.675202e+01,  5.000000e-02,  7.500000e-01
  7.675202e+01,  5.000000e-02,  8.000000e-01
  7.675202e+01,  5.000000e-02,  8.500000e-01
  7.675202e+01,  5.000000e-02,  9.000000e-01
  7.675202e+01,  5.000000e-02,  9.500000e-01
  7.675202e+01,  5.000000e-02,  1.000000e+00
  7.675202e+01,  5.000000e-02,  1.050000e+00
  7.675202e+01,  5.000000e-02,  1.100000e+00
  7.675202e+01,  5.000000e-02,  1.150000e+00
  7.675202e+01,  5.000000e-02,  1.200000e+00
  7.675202e+01,  5.000000e-02,  1.250000e+00
  7.675202e+01,  5.000000e-02,  1.300000e+00
  7.675202e+01,  5.000000e-02,  1.350000e+00
  7.675202e+01,  5.000000e-02,  1.400000e+00
  7.675202e+01,  5.000000e-02,  1.450000e+00
  7.675202e+01,  5.000000e-02,  1.500000e+00
  7.675202e+01,  5.000000e-02,  1.550000e+00
  7.675202e+01,  5.000000e-02,  1.600000e+00
  7.675202e+01,  5.000000e-02,  1.650000e+00
  7.675202e+01,  5.000000e-02,  1.700000e+00
  7.675202e+01,  5.000000e-02,  1.750000e+00
  7.675202e+01,  5.000000e-02,  1.800000e+00
  7.675202e+01,  5.000000e-02,  1.850000e+00
  7.675202e+01,  5.000000e-02,  1.900000e+00
  7.675202e+01,  5.000000e-02,  1.950000e+00
  7.675202e+01,  5.000000e-02,  2.000000e+00
  7.338802e+01,  1.000000e-01,  0.000000e+00
  7.338802e+01,  1.000000e-01,  5.000000e-02
  7.338802e+01,  1.000000e-01,  1.000000e-01
  7.338802e+01,  1.000000e-01,  1.500000e-01
  7.338802e+01,  1.000000e-01,  2.000000e-01
  7.338802e+01,  1.000000e-01,  2.500000e-01
  7.338802e+01,  1.000000e-01,  3.000000e-01
  7.338802e+01,  1.000000e-01,  3.500000e-01
  7.338802e+01,  1.000000e-01,  4.000000e-01
  7.338802e+01,  1.000000e-01,  4.500000e-01
  7.338802e+01,  1.000000e-01,  5.000000e-01
  7.338802e+01,  1.000000e-01,  5.500000e-01
  7.338802e+01,  1.000000e-01,  6.000000e-01
  7.338802e+01,  1.000000e-01,  6.500000e-01
  7.338802e+01,  1.000000e-01,  7.000000e-01
  7.338802e+01,  1.000000e-01,  7.500000e-01
  7.338802e+01,  1.000000e-01,  8.000000e-01
  7.338802e+01,  1.000000e-01,  8.500000e-01
  7.338802e+01,  1.000000e-01,  9.000000e-01
  7.338802e+01,  1.000000e-01,  9.500000e-01
  7.338802e+01,  1.000000e-01,  1.000000e+00
  7.338802e+01,  1.000000e-01,  1.050000e+00
  7.338802e+01,  1.000000e-01,  1.100000e+00
  7.338802e+01,  1.000000e-01,  1.150000e+00
  7.338802e+01,  1.000000e-01,  1.200000e+00
  7.338802e+01,  1.000000e-01,  1.250000e+00
  7.338802e+01,  1.000000e-01,  1.300000e+00
  7.338802e+01,  1.000000e-01,  1.350000e+00
  7.338802e+01,  1.000000e-01,  1.400000e+00
  7.338802e+01,  1.000000e-01,  1.450000e+00
  7.338802e+01,  1.000000e-01,  1.500000e+00
  7.338802e+01,  1.000000e-01,  1.550000e+00
  7.338802e+01,  1.000000e-01,  1.600000e+00
  7.338802e+01,  1.000000e-01,  1.650000e+00
  7.338802e+01,  1.000000e-01,  1.700000e+00
  7.338802e+01,  1.000000e-01,  1.750000e+00
  7.338802e+01,  1.000000e-01,  1.800000e+00
  7.338802e+01,  1.000000e-01,  1.850000e+00
  7.338802e+01,  1.000000e-01,  1.900000e+00
  7.338802e+01,  1.000000e-01,  1.950000e+00
  7.338802e+01,  1.000000e-01,  2.000000e+00
  7.000623e+01,  1.500000e-01,  0.000000e+00
  7.000623e+01,  1.500000e-01,  5.000000e-02
  7.000623e+01,  1.500000e-01,  1.000000e-01
  7.000623e+01,  1.500000e-01,  1.500000e-01
  7.000623e+01,  1.500000e-01,  2.000000e-01
  7.000623e+01,  1.500000e-01,  2.500000e-01
  7.000623e+01,  1.500000e-01,  3.000000e-01
  7.000623e+01,  1.500000e-01,  3.500000e-01
